threads,l2_bandwidth_mbyte_s,l2_data_volume_gbytes,l2_miss_ratio_prcnt
1,7290,0.273,9.41
2,11180,0.227,11.90
3,14700,0.215,12.31
4,17310,0.189,14.27
5,20700,0.190,13.93
6,24230,0.187,14.08
7,28760,0.191,13.66
8,31580,0.183,14.58
9,40250,0.211,12.30
10,47780,0.224,12.13
11,56580,0.242,11.21
12,64450,0.254,10.58
13,75950,0.277,9.53
14,86840,0.295,9.22
15,99650,0.317,8.24
16,105260,0.312,8.39
17,127560,0.360,7.32
18,142040,0.376,7.03
19,154160,0.395,6.95
20,170820,0.418,6.23
21,188940,0.433,6.43
22,200810,0.444,6.34
23,218030,0.463,6.25
24,237210,0.481,6.28
25,250050,0.490,6.51
26,263450,0.494,7.32
27,273220,0.501,8.81
28,284210,0.508,10.22
29,299840,0.524,12.34
30,326170,0.540,14.80
31,339270,0.539,16.42
32,351880,0.538,18.91
