[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.500000,64,8,3

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3557634930,  0.0009636609,     19.273218,      6.424406,      0.803051
           768,         21.50,  0.4975772920,  0.0009666999,     19.333998,      6.444666,      0.805583
          1152,         32.26,  0.4984401570,  0.0010224271,     20.448541,      6.816180,      0.852023
          1728,         48.38,  0.5008526040,  0.0011861938,     23.723875,      7.907958,      0.988495
          2592,         72.58,  0.4996357460,  0.0011763816,     23.527631,      7.842544,      0.980318
          3888,        108.86,  0.4992134400,  0.0011827097,     23.654195,      7.884732,      0.985591
          5832,        163.30,  0.4991139770,  0.0011788311,     23.576622,      7.858874,      0.982359
          8752,        245.06,  0.4994316250,  0.0011759403,     23.518807,      7.839602,      0.979950
         13128,        367.58,  0.4997700950,  0.0011763131,     23.526261,      7.842087,      0.980261
         19696,        551.49,  0.4975075300,  0.0011723437,     23.446875,      7.815625,      0.976953
         29544,        827.23,  0.4984191970,  0.0011752284,     23.504568,      7.834856,      0.979357
         44320,       1240.96,  0.5026230140,  0.0013547691,     27.095382,      9.031794,      1.128974
         66480,       1861.44,  0.5022336230,  0.0015163905,     30.327810,     10.109270,      1.263659
         99720,       2792.16,  0.4961672940,  0.0015169526,     30.339053,     10.113018,      1.264127
        149584,       4188.35,  0.4980866720,  0.0015176903,     30.353806,     10.117935,      1.264742
        224376,       6282.53,  0.5002781200,  0.0015157321,     30.314641,     10.104880,      1.263110
        336568,       9423.90,  0.4980234930,  0.0015176527,     30.353054,     10.117685,      1.264711
        504856,      14135.97,  0.4954062020,  0.0015166649,     30.333298,     10.111099,      1.263887
        757288,      21204.06,  0.4948062380,  0.0019562647,     39.125295,     13.041765,      1.630221
       1135936,      31806.21,  0.4939159910,  0.0022297933,     44.595867,     14.865289,      1.858161
       1703904,      47709.31,  0.4949778290,  0.0025482133,     50.964265,     16.988088,      2.123511
       2555856,      71563.97,  0.4953300270,  0.0027686001,     55.372003,     18.457334,      2.307167
       3833784,     107345.95,  0.4917661870,  0.0027885163,     55.770327,     18.590109,      2.323764
       5750680,     161019.04,  0.4872028260,  0.0028240302,     56.480605,     18.826868,      2.353359
       8626024,     241528.67,  0.4903651610,  0.0028423591,     56.847183,     18.949061,      2.368633
      12939040,     362293.12,  0.4792762790,  0.0028493154,     56.986308,     18.995436,      2.374430
      19408560,     543439.68,  0.4991540150,  0.0028575823,     57.151646,     19.050549,      2.381319
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.500000,64,8,6

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
