   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     18.679271,     19.144091,     18.596373,     19.362840,     18.739597,     19.438102,     18.979005,     18.410903
     21.500000,     18.482482,     18.552061,     18.688596,     18.451716,     18.833607,     19.371845,     18.712913,     18.627030
     32.260000,     19.671031,     19.401112,     19.033531,     18.530993,     18.958165,     19.118487,     18.712976,     18.675488
     48.380000,     22.746438,     24.305753,     26.101605,     19.153267,     22.931233,     19.114867,     20.793064,     19.086437
     72.580000,     22.615052,     24.247222,     25.989284,     26.023134,     27.504709,     26.356005,     25.927012,     18.759192
    108.860000,     22.606557,     24.201869,     25.982925,     25.928051,     27.305117,     27.835887,     27.851116,     23.228942
    163.300000,     22.614524,     24.200843,     25.887400,     25.917045,     27.421488,     27.632342,     27.878962,     27.100521
    245.060000,     22.539562,     24.129146,     25.905600,     25.871343,     27.272593,     27.522970,     27.865098,     27.070769
    367.580000,     22.583581,     24.178642,     25.863909,     26.211168,     27.602374,     27.953089,     28.411157,     28.041987
    551.490000,     22.563824,     24.126943,     25.928706,     26.499097,     27.886932,     28.301640,     28.869626,     28.730921
    827.230000,     23.687166,     24.160296,     25.927414,     26.480413,     28.910650,     28.538905,     28.970397,     29.001652
   1240.960000,     26.278612,     33.614082,     41.195243,     29.834465,     35.175845,     40.467404,     46.184786,     29.320857
   1861.440000,     29.010068,     46.650860,     62.889470,     47.835609,     53.992592,     45.702864,     52.981091,     27.948531
   2792.160000,     29.228460,     47.436713,     65.330661,     60.909603,     73.735591,     70.175413,     71.196175,     47.018896
   4188.350000,     29.241395,     47.463269,     65.495394,     61.419980,     75.240178,     75.689273,     77.063744,     64.875677
   6282.530000,     29.192765,     47.490670,     65.437426,     61.437176,     75.166079,     75.718409,     77.059226,     69.576831
   9423.900000,     29.215663,     47.464464,     65.549251,     61.441251,     75.177382,     75.721109,     77.106507,     69.534422
  14135.970000,     29.239360,     47.495745,     65.428896,     61.478064,     75.159342,     75.701597,     77.165069,     69.452990
  21204.060000,     30.545005,     49.019538,     66.004000,     61.927226,     77.069582,     76.784414,     77.177657,     69.735744
  31806.210000,     41.019061,     63.937552,     79.019435,     73.463422,     95.873636,    117.446658,    109.427009,     73.954002
  47709.310000,     49.398878,     78.001448,    107.388592,    111.178631,    139.622942,    111.353419,    151.978317,     78.717033
  71563.970000,     52.366251,     87.422408,    122.742519,    138.451587,    162.546528,    155.553299,    182.263607,    108.267830
 107345.950000,     53.655803,     91.352521,    129.350801,    151.377373,    175.364154,    180.548043,    197.648838,    149.945671
 161019.040000,     54.139744,     92.937671,    132.697304,    158.285817,    180.844432,    196.104401,    206.848279,    175.357238
 241528.670000,     54.477168,     93.933382,    134.241595,    160.723645,    185.194977,    200.133280,    212.566760,    190.204225
 362293.120000,     54.716191,     94.610882,    135.109884,    162.586736,    186.256059,    202.064238,    213.944546,    197.352450
 543439.680000,     54.772468,     94.800935,    135.509903,    163.520403,    187.274718,    202.400736,    214.874280,    199.369819
 815159.520000,     54.878036,     94.989234,    135.898372,    163.639205,    187.535305,    202.699599,    215.396052,    200.603057
1222739.390000,     54.862011,     95.238371,    135.950815,    164.525528,    188.383615,    203.580791,    215.536101,    200.908580
1834109.090000,     54.808473,     95.333904,    136.398507,           inf,           inf,           inf,           inf,           inf
