INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.400000,64,8,4

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.4490700889,  0.0011705459,     22.474481,      7.491494,      0.936437
           768,         21.50,             0,  0.4999553820,  0.0011753003,     22.565766,      7.521922,      0.940240
          1152,         32.26,             0,  0.4995540460,  0.0011676405,     22.418698,      7.472899,      0.934112
          1728,         48.38,             0,  0.5037203870,  0.0013233318,     25.407971,      8.469324,      1.058665
          2592,         72.58,             0,  0.4995822790,  0.0013100608,     25.153168,      8.384389,      1.048049
          3888,        108.86,             0,  0.4992775780,  0.0013071295,     25.096886,      8.365629,      1.045704
          5832,        163.30,             0,  0.5006242050,  0.0013084907,     25.123021,      8.374340,      1.046793
          8752,        245.06,             0,  0.4983577441,  0.0013081430,     25.116345,      8.372115,      1.046514
         13128,        367.58,             0,  0.4978545550,  0.0013076483,     25.106847,      8.368949,      1.046119
         19696,        551.49,             0,  0.4902076571,  0.0013064930,     25.084665,      8.361555,      1.045194
         29544,        827.23,             0,  0.4932937190,  0.0015205279,     29.194136,      9.731379,      1.216422
         44320,       1240.96,             0,  0.3374804260,  0.0016003847,     30.727387,     10.242462,      1.280308
         66480,       1861.44,             0,  0.4942646291,  0.0015602910,     29.957588,      9.985863,      1.248233
         99720,       2792.16,             0,  0.4990964649,  0.0015476124,     29.714159,      9.904720,      1.238090
        149584,       4188.35,             0,  0.4972685240,  0.0015483666,     29.728638,      9.909546,      1.238693
        224376,       6282.53,             0,  0.4951001280,  0.0015550138,     29.856265,      9.952088,      1.244011
        336568,       9423.90,             0,  0.4984609811,  0.0015622481,     29.995164,      9.998388,      1.249798
        504856,      14135.97,             0,  0.4966911200,  0.0015616306,     29.983308,      9.994436,      1.249305
        757288,      21204.06,             0,  0.4947239180,  0.0015894981,     30.518363,     10.172788,      1.271598
       1135936,      31806.21,             0,  0.4926684019,  0.0017488363,     33.577657,     11.192552,      1.399069
       1703904,      47709.31,             0,  0.4909593380,  0.0021502829,     41.285432,     13.761811,      1.720226
       2555856,      71563.97,             0,  0.4955931490,  0.0026562323,     50.999660,     16.999887,      2.124986
       3833784,     107345.95,             0,  0.4938025610,  0.0028622870,     54.955911,     18.318637,      2.289830
       5750680,     161019.04,             0,  0.4825273680,  0.0028933752,     55.552803,     18.517601,      2.314700
       8626024,     241528.67,             0,  0.4779140879,  0.0029159869,     55.986949,     18.662316,      2.332790
      12939040,     362293.12,             0,  0.4961323440,  0.0029495253,     56.630887,     18.876962,      2.359620
      19408560,     543439.68,             0,  0.4582647911,  0.0029514348,     56.667548,     18.889183,      2.361148
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.4570324020,  0.0011913736,     22.874372,      7.624791,      0.953099
           768,         21.50,             0,  0.4994542210,  0.0011841360,     22.735410,      7.578470,      0.947309
          1152,         32.26,             0,  0.4995210740,  0.0011813175,     22.681296,      7.560432,      0.945054
          1728,         48.38,             0,  0.5002818591,  0.0014167187,     27.200999,      9.067000,      1.133375
          2592,         72.58,             0,  0.5000913700,  0.0014100967,     27.073857,      9.024619,      1.128077
          3888,        108.86,             0,  0.5001167230,  0.0014093133,     27.058816,      9.019605,      1.127451
          5832,        163.30,             0,  0.5003033980,  0.0014058423,     26.992173,      8.997391,      1.124674
          8752,        245.06,             0,  0.5001290101,  0.0014099319,     27.070692,      9.023564,      1.127946
         13128,        367.58,             0,  0.4983255001,  0.0014104853,     27.081318,      9.027106,      1.128388
         19696,        551.49,             0,  0.4932134160,  0.0014101418,     27.074723,      9.024908,      1.128113
         29544,        827.23,             0,  0.4853056240,  0.0014461253,     27.765606,      9.255202,      1.156900
         44320,       1240.96,             0,  0.3078715961,  0.0023895980,     45.880281,     15.293427,      1.911678
         66480,       1861.44,             0,  0.4939038460,  0.0026261435,     50.421955,     16.807318,      2.100915
         99720,       2792.16,             0,  0.4949385610,  0.0027360986,     52.533092,     17.511031,      2.188879
        149584,       4188.35,             0,  0.4985424450,  0.0025306450,     48.588383,     16.196128,      2.024516
        224376,       6282.53,             0,  0.4980236540,  0.0025424904,     48.815816,     16.271939,      2.033992
        336568,       9423.90,             0,  0.4990790209,  0.0025522332,     49.002878,     16.334293,      2.041787
        504856,      14135.97,             0,  0.4979904620,  0.0025554430,     49.064506,     16.354835,      2.044354
        757288,      21204.06,             0,  0.4957823590,  0.0025673780,     49.293657,     16.431219,      2.053902
       1135936,      31806.21,             0,  0.4930820720,  0.0027473138,     52.748424,     17.582808,      2.197851
       1703904,      47709.31,             0,  0.4867655219,  0.0034838611,     66.890134,     22.296711,      2.787089
       2555856,      71563.97,             0,  0.4977297900,  0.0043275764,     83.089466,     27.696489,      3.462061
       3833784,     107345.95,             0,  0.4871243230,  0.0048869605,     93.829641,     31.276547,      3.909568
       5750680,     161019.04,             0,  0.4752624470,  0.0051652853,     99.173478,     33.057826,      4.132228
       8626024,     241528.67,             0,  0.4509936820,  0.0052282915,    100.383197,     33.461066,      4.182633
      12939040,     362293.12,             0,  0.4776868680,  0.0052740374,    101.261518,     33.753839,      4.219230
      19408560,     543439.68,             0,  0.4169839310,  0.0053711343,    103.125779,     34.375260,      4.296907
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,3,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.4589428691,  0.0012011937,     23.062919,      7.687640,      0.960955
           768,         21.50,             0,  0.4998026880,  0.0011929535,     22.904707,      7.634902,      0.954363
          1152,         32.26,             0,  0.4997124149,  0.0011918324,     22.883183,      7.627728,      0.953466
          1728,         48.38,             0,  0.4999742580,  0.0011970318,     22.983011,      7.661004,      0.957625
          2592,         72.58,             0,  0.4999763080,  0.0014319169,     27.492805,      9.164268,      1.145534
          3888,        108.86,             0,  0.4999708120,  0.0014302767,     27.461312,      9.153771,      1.144221
