   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     22.465840,     22.666338,     22.878203,     22.969360,     22.959637,     23.408179,     23.622100,     23.675434
     21.500000,     22.399241,     22.732907,     22.732077,     23.047600,     23.410207,     23.401850,     23.403337,     23.862419
     32.260000,     22.296455,     22.628474,     22.847101,     22.880766,     23.178142,     23.178311,     23.536045,     23.772268
     48.380000,     23.046710,     22.680008,     22.982586,     22.884138,     23.184269,     23.192446,     23.764141,     23.774593
     72.580000,     24.739559,     26.131433,     27.436271,     23.077065,     26.613694,     23.338815,     26.319104,     23.593919
    108.860000,     24.830419,     25.976394,     27.369709,     27.431003,     28.570598,     28.690470,     28.723269,     23.522707
    163.300000,     24.786085,     26.033112,     27.370631,     27.422346,     28.555358,     28.791531,     28.974335,     27.952994
    245.060000,     24.765430,     25.981171,     27.350745,     27.475163,     28.549570,     28.795821,     28.968467,     28.467168
    367.580000,     24.759760,     26.019080,     27.462181,     27.853426,     28.865499,     29.186322,     29.457944,     29.160479
    551.490000,     24.757878,     25.985626,     27.497570,     28.133133,     29.049347,     29.406300,     29.729309,     29.631769
    827.230000,     24.740308,     25.998991,     27.564309,     28.095342,     36.618417,     29.467779,     29.782548,     29.763232
   1240.960000,     29.950884,     32.131424,     35.441424,     30.927572,     39.394407,     36.553290,     34.728939,     29.822521
   1861.440000,     29.840554,     38.866172,     46.236358,     41.674404,     44.113891,     37.246292,     45.523916,     31.844643
   2792.160000,     30.725072,     40.348611,     54.325194,     55.362229,     65.124788,     60.739060,     68.796500,     41.074058
   4188.350000,     26.823694,     38.383421,     56.968837,     58.227521,     71.379203,     71.900220,     73.347031,     58.077232
   6282.530000,     27.179922,     38.423330,     54.283428,     58.348263,     70.258362,     72.198913,     74.152031,     67.817220
   9423.900000,     26.937704,     38.658639,     54.418418,     58.776225,     70.719602,     72.818060,     74.915106,     69.139568
  14135.970000,     26.759637,     38.728972,     54.460726,     58.993916,     70.920440,     73.089215,     75.288512,     69.630470
  21204.060000,     27.561650,     38.815954,     54.523698,     59.071643,     70.935093,     73.142779,     75.347765,     69.754423
  31806.210000,     27.571860,     39.660541,     55.062302,     59.518139,     72.182501,     74.558237,     76.775893,     70.246880
  47709.310000,     31.354453,     44.959419,     61.807013,     63.770944,     81.806366,     78.157258,     87.834811,     73.164950
  71563.970000,     38.262175,     57.848300,     78.747790,     80.093442,    105.101012,     90.777142,    115.731443,     77.298685
 107345.950000,     42.974215,     68.823579,     97.585886,    100.839622,    124.157366,    112.281310,    129.453703,     87.846684
 161019.040000,     44.616576,     74.632205,    105.153296,    112.882252,    131.098030,    136.777984,    141.021646,    106.051223
 241528.670000,     45.350489,     76.669716,    111.180896,    119.454170,    141.114440,    144.701440,    148.354559,    124.190834
 362293.120000,     45.610842,     77.770225,    112.329369,    123.529291,    145.235467,    149.477871,    153.077233,    134.157327
 543439.680000,     45.750184,     78.144151,    112.972444,    124.595347,    148.506084,    152.982890,    156.166801,    138.969404
 815159.520000,     45.122976,     78.924326,    115.246245,    126.798643,    149.334516,    153.135997,    156.819274,    142.297499
1222739.390000,     45.010824,     78.276251,    113.228533,    123.148408,    146.153944,    154.761704,    158.250971,    147.156186
1834109.090000,     45.257464,     79.913695,    113.154743,    121.344079,    143.524676,           inf,           inf,    145.142884
2751163.740000,     45.057161,     77.549923,           inf,           inf,           inf,           inf,           inf,           inf
4126745.730000,     44.750441,           inf,           inf,           inf,           inf,           inf,           inf,           inf
