INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.400000,64,8,3

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.4511272530,  0.0011700958,     22.465840,      7.488613,      0.936077
           768,         21.50,           192,  0.4996365709,  0.0011666271,     22.399241,      7.466414,      0.933302
          1152,         32.26,           288,  0.4995351350,  0.0011612737,     22.296455,      7.432152,      0.929019
          1728,         48.38,           432,  0.5011795210,  0.0012003495,     23.046710,      7.682237,      0.960280
          2592,         72.58,           648,  0.4986448510,  0.0012885187,     24.739559,      8.246520,      1.030815
          3888,        108.86,           972,  0.5016796140,  0.0012932510,     24.830419,      8.276806,      1.034601
          5832,        163.30,          1458,  0.5011302091,  0.0012909419,     24.786085,      8.262028,      1.032754
          8752,        245.06,          2188,  0.4980666421,  0.0012898661,     24.765430,      8.255143,      1.031893
         13128,        367.58,          3282,  0.4997584301,  0.0012895708,     24.759760,      8.253253,      1.031657
         19696,        551.49,          4924,  0.4975107810,  0.0012894728,     24.757878,      8.252626,      1.031578
         29544,        827.23,          7386,  0.4923863650,  0.0012885577,     24.740308,      8.246769,      1.030846
         44320,       1240.96,         11080,  0.4693685460,  0.0015599419,     29.950884,      9.983628,      1.247954
         66480,       1861.44,         16620,  0.3108986610,  0.0015541955,     29.840554,      9.946851,      1.243356
         99720,       2792.16,         24930,  0.4934162430,  0.0016002642,     30.725072,     10.241691,      1.280211
        149584,       4188.35,         37396,  0.4973698520,  0.0013970674,     26.823694,      8.941231,      1.117654
        224376,       6282.53,         56094,  0.4885170429,  0.0014156210,     27.179922,      9.059974,      1.132497
        336568,       9423.90,         84142,  0.4986502989,  0.0014030054,     26.937704,      8.979235,      1.122404
        504856,      14135.97,        126214,  0.4981725130,  0.0013937311,     26.759637,      8.919879,      1.114985
        757288,      21204.06,        189322,  0.4946254480,  0.0014355026,     27.561650,      9.187217,      1.148402
       1135936,      31806.21,        283984,  0.4926354380,  0.0014360344,     27.571860,      9.190620,      1.148828
       1703904,      47709.31,        425976,  0.4925115210,  0.0016330444,     31.354453,     10.451484,      1.306436
       2555856,      71563.97,        638964,  0.4940564140,  0.0019928216,     38.262175,     12.754058,      1.594257
       3833784,     107345.95,        958446,  0.4891130200,  0.0022382404,     42.974215,     14.324738,      1.790592
       5750680,     161019.04,       1437670,  0.4810793480,  0.0023237800,     44.616576,     14.872192,      1.859024
       8626024,     241528.67,       2156506,  0.4889930090,  0.0023620046,     45.350489,     15.116830,      1.889604
      12939040,     362293.12,       3234760,  0.4918004290,  0.0023755647,     45.610842,     15.203614,      1.900452
      19408560,     543439.68,       4852140,  0.4624714550,  0.0023828221,     45.750184,     15.250061,      1.906258
      29112840,     815159.52,       7278210,  0.4789378010,  0.0023501550,     45.122976,     15.040992,      1.880124
      43669264,    1222739.39,      10917316,  0.4094978260,  0.0023443138,     45.010824,     15.003608,      1.875451
      65503896,    1834109.09,      16375974,  0.4632094080,  0.0023571596,     45.257464,     15.085821,      1.885728
      98255848,    2751163.74,      24563962,  0.4611593260,  0.0023467271,     45.057161,     15.019054,      1.877382
     147383776,    4126745.73,      36845944,  0.3435150470,  0.0023307521,     44.750441,     14.916814,      1.864602
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.400000,64,8,6

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.4521982850,  0.0011805385,     22.666338,      7.555446,      0.944431
           768,         21.50,           192,  0.4997884070,  0.0011840056,     22.732907,      7.577636,      0.947204
          1152,         32.26,           288,  0.4999136790,  0.0011785664,     22.628474,      7.542825,      0.942853
          1728,         48.38,           432,  0.5015189340,  0.0011812504,     22.680008,      7.560003,      0.945000
          2592,         72.58,           648,  0.5001916840,  0.0013610121,     26.131433,      8.710478,      1.088810
          3888,        108.86,           972,  0.5003310620,  0.0013529372,     25.976394,      8.658798,      1.082350
