[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.500000,64,8,3

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.3526618441,  0.0009633733,     19.267467,      6.422489,      0.802811
           768,         21.50,           960,  0.4989219010,  0.0009861257,     19.722513,      6.574171,      0.821771
          1152,         32.26,          1440,  0.4982832630,  0.0010120963,     20.241925,      6.747308,      0.843414
          1728,         48.38,          2160,  0.4970901560,  0.0011859709,     23.719418,      7.906473,      0.988309
          2592,         72.58,          3240,  0.4990107550,  0.0011788236,     23.576473,      7.858824,      0.982353
          3888,        108.86,          4860,  0.4994731400,  0.0011799123,     23.598246,      7.866082,      0.983260
          5832,        163.30,          7290,  0.4977956880,  0.0011790305,     23.580610,      7.860203,      0.982525
          8752,        245.06,         10940,  0.4993039410,  0.0011751070,     23.502139,      7.834046,      0.979256
         13128,        367.58,         16410,  0.4989339730,  0.0011764899,     23.529798,      7.843266,      0.980408
         19696,        551.49,         24620,  0.4992205380,  0.0011738198,     23.476396,      7.825465,      0.978183
         29544,        827.23,         36930,  0.5005700000,  0.0012468322,     24.936645,      8.312215,      1.039027
         44320,       1240.96,         55400,  0.4985153360,  0.0013647282,     27.294564,      9.098188,      1.137273
         66480,       1861.44,         83100,  0.5009493890,  0.0015131204,     30.262409,     10.087470,      1.260934
         99720,       2792.16,        124650,  0.4987515760,  0.0015202188,     30.404377,     10.134792,      1.266849
        149584,       4188.35,        186980,  0.4992964010,  0.0015192989,     30.385979,     10.128660,      1.266082
        224376,       6282.53,        280470,  0.4992542910,  0.0015177891,     30.355782,     10.118594,      1.264824
        336568,       9423.90,        420710,  0.4986644970,  0.0015164953,     30.329906,     10.109969,      1.263746
        504856,      14135.97,        631070,  0.4978011460,  0.0015169631,     30.339262,     10.113087,      1.264136
        757288,      21204.06,        946610,  0.4921349840,  0.0015399645,     30.799290,     10.266430,      1.283304
       1135936,      31806.21,       1419920,  0.4898847640,  0.0020058646,     40.117292,     13.372431,      1.671554
       1703904,      47709.31,       2129880,  0.4955820110,  0.0025513237,     51.026474,     17.008825,      2.126103
       2555856,      71563.97,       3194820,  0.4964750510,  0.0027359156,     54.718312,     18.239437,      2.279930
       3833784,     107345.95,       4792230,  0.4916393640,  0.0027877972,     55.755944,     18.585315,      2.323164
       5750680,     161019.04,       7188350,  0.4867615800,  0.0028214726,     56.429452,     18.809817,      2.351227
       8626024,     241528.67,      10782530,  0.4905013060,  0.0028431483,     56.862966,     18.954322,      2.369290
      12939040,     362293.12,      16173800,  0.4791455160,  0.0028485380,     56.970760,     18.990253,      2.373782
      19408560,     543439.68,      24260700,  0.4989647390,  0.0028564987,     57.129974,     19.043325,      2.380416
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.500000,64,8,6

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.3868467050,  0.0009920211,     19.840422,      6.613474,      0.826684
           768,         21.50,           960,  0.5008229140,  0.0009931182,     19.862363,      6.620788,      0.827598
          1152,         32.26,          1440,  0.5018349670,  0.0010190218,     20.380437,      6.793479,      0.849185
          1728,         48.38,          2160,  0.4987529380,  0.0012656609,     25.313218,      8.437739,      1.054717
          2592,         72.58,          3240,  0.4991801760,  0.0012652748,     25.305496,      8.435165,      1.054396
          3888,        108.86,          4860,  0.4942394220,  0.0012618166,     25.236333,      8.412111,      1.051514
          5832,        163.30,          7290,  0.5005706110,  0.0012636063,     25.272127,      8.424042,      1.053005
          8752,        245.06,         10940,  0.4995075250,  0.0012591786,     25.183572,      8.394524,      1.049315
         13128,        367.58,         16410,  0.4991542470,  0.0012578440,     25.156880,      8.385627,      1.048203
         19696,        551.49,         24620,  0.4980958530,  0.0012566681,     25.133361,      8.377787,      1.047223
         29544,        827.23,         36930,  0.4965760390,  0.0013667276,     27.334553,      9.111518,      1.138940
         44320,       1240.96,         55400,  0.4974055050,  0.0017373140,     34.746280,     11.582093,      1.447762
         66480,       1861.44,         83100,  0.4998160610,  0.0024331043,     48.662085,     16.220695,      2.027587
         99720,       2792.16,        124650,  0.4996461320,  0.0024767626,     49.535252,     16.511751,      2.063969
        149584,       4188.35,        186980,  0.4995996800,  0.0024703604,     49.407208,     16.469069,      2.058634
        224376,       6282.53,        280470,  0.5000943230,  0.0024737211,     49.474422,     16.491474,      2.061434
        336568,       9423.90,        420710,  0.4991833650,  0.0024719292,     49.438584,     16.479528,      2.059941
        504856,      14135.97,        631070,  0.4970761580,  0.0024738442,     49.476883,     16.492294,      2.061537
        757288,      21204.06,        946610,  0.4939600320,  0.0026301411,     52.602823,     17.534274,      2.191784
       1135936,      31806.21,       1419920,  0.4925793970,  0.0030537539,     61.075078,     20.358359,      2.544795
       1703904,      47709.31,       2129880,  0.4889450000,  0.0040993674,     81.987349,     27.329116,      3.416140
       2555856,      71563.97,       3194820,  0.4900293300,  0.0045649540,     91.299079,     30.433026,      3.804128
       3833784,     107345.95,       4792230,  0.4936398470,  0.0047689065,     95.378129,     31.792710,      3.974089
       5750680,     161019.04,       7188350,  0.4739394350,  0.0048479120,     96.958239,     32.319413,      4.039927
       8626024,     241528.67,      10782530,  0.4646271150,  0.0048966741,     97.933483,     32.644494,      4.080562
      12939040,     362293.12,      16173800,  0.4465584540,  0.0049303553,     98.607107,     32.869036,      4.108629
      19408560,     543439.68,      24260700,  0.4802269090,  0.0049486094,     98.972187,     32.990729,      4.123841
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,3,3,2.500000,64,8,8

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.3639625990,  0.0009683258,     19.366517,      6.455506,      0.806938
           768,         21.50,           960,  0.4966713130,  0.0009804346,     19.608693,      6.536231,      0.817029
          1152,         32.26,          1440,  0.5007005460,  0.0010211878,     20.423755,      6.807918,      0.850990
          1728,         48.38,          2160,  0.4973796340,  0.0013607182,     27.214363,      9.071454,      1.133932
          2592,         72.58,          3240,  0.4986053580,  0.0013556345,     27.112690,      9.037563,      1.129695
          3888,        108.86,          4860,  0.4959725900,  0.0013512236,     27.024472,      9.008157,      1.126020
          5832,        163.30,          7290,  0.4971746830,  0.0013478810,     26.957621,      8.985874,      1.123234
          8752,        245.06,         10940,  0.4984800300,  0.0013486805,     26.973611,      8.991204,      1.123900
         13128,        367.58,         16410,  0.4972410040,  0.0013495946,     26.991891,      8.997297,      1.124662
         19696,        551.49,         24620,  0.4979192890,  0.0013497183,     26.994366,      8.998122,      1.124765
         29544,        827.23,         36930,  0.4975603520,  0.0013542404,     27.084808,      9.028269,      1.128534
         44320,       1240.96,         55400,  0.4982685780,  0.0022122239,     44.244479,     14.748160,      1.843520
         66480,       1861.44,         83100,  0.4997994850,  0.0033443251,     66.886502,     22.295501,      2.786938
         99720,       2792.16,        124650,  0.4998592890,  0.0034076331,     68.152661,     22.717554,      2.839694
        149584,       4188.35,        186980,  0.4993773830,  0.0034100523,     68.201045,     22.733682,      2.841710
        224376,       6282.53,        280470,  0.4993137560,  0.0034078773,     68.157546,     22.719182,      2.839898
        336568,       9423.90,        420710,  0.4998576220,  0.0034141629,     68.283258,     22.761086,      2.845136
        504856,      14135.97,        631070,  0.4988961610,  0.0034075689,     68.151377,     22.717126,      2.839641
        757288,      21204.06,        946610,  0.4947675160,  0.0034386383,     68.772767,     22.924256,      2.865532
       1135936,      31806.21,       1419920,  0.4946061920,  0.0042273525,     84.547050,     28.182350,      3.522794
       1703904,      47709.31,       2129880,  0.4903194800,  0.0056423997,    112.847994,     37.615998,      4.702000
       2555856,      71563.97,       3194820,  0.4915592620,  0.0064108889,    128.217777,     42.739259,      5.342407
       3833784,     107345.95,       4792230,  0.4911400550,  0.0067425490,    134.850981,     44.950327,      5.618791
       5750680,     161019.04,       7188350,  0.4765560110,  0.0069057922,    138.115843,     46.038614,      5.754827
       8626024,     241528.67,      10782530,  0.4821841030,  0.0069873458,    139.746917,     46.582306,      5.822788
      12939040,     362293.12,      16173800,  0.4549190240,  0.0070317276,    140.634552,     46.878184,      5.859773
      19408560,     543439.68,      24260700,  0.4104599740,  0.0070494664,    140.989328,     46.996443,      5.874555
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,4,3,2.500000,64,8,8

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           512,  0.4134158550,  0.0009768563,     19.537127,      6.512376,      0.814047
           768,         21.50,           768,  0.4893081060,  0.0009855992,     19.711985,      6.570662,      0.821333
          1152,         32.26,          1152,  0.5013211820,  0.0010043241,     20.086482,      6.695494,      0.836937
          1728,         48.38,          1728,  0.4984389160,  0.0010016162,     20.032325,      6.677442,      0.834680
          2592,         72.58,          2592,  0.4974698710,  0.0013506911,     27.013822,      9.004607,      1.125576
          3888,        108.86,          3888,  0.4986155310,  0.0013551226,     27.102452,      9.034151,      1.129269
          5832,        163.30,          5832,  0.4968359990,  0.0013475381,     26.950762,      8.983587,      1.122948
          8752,        245.06,          8752,  0.4990531680,  0.0013486983,     26.973965,      8.991322,      1.123915
         13128,        367.58,         13128,  0.4978300280,  0.0013661373,     27.322746,      9.107582,      1.138448
         19696,        551.49,         19696,  0.4974589520,  0.0013802313,     27.604625,      9.201542,      1.150193
         29544,        827.23,         29544,  0.4984936910,  0.0013829133,     27.658265,      9.219422,      1.152428
         44320,       1240.96,         44320,  0.4990407950,  0.0017992882,     35.985765,     11.995255,      1.499407
         66480,       1861.44,         66480,  0.4994195070,  0.0025508751,     51.017502,     17.005834,      2.125729
         99720,       2792.16,         99720,  0.4996555320,  0.0031772891,     63.545783,     21.181928,      2.647741
        149584,       4188.35,        149584,  0.5000725050,  0.0031991275,     63.982549,     21.327516,      2.665940
        224376,       6282.53,        224376,  0.4998137570,  0.0032005349,     64.010698,     21.336899,      2.667112
        336568,       9423.90,        336568,  0.4998910890,  0.0032009920,     64.019841,     21.339947,      2.667493
        504856,      14135.97,        504856,  0.4977440070,  0.0032010157,     64.020314,     21.340105,      2.667513
        757288,      21204.06,        757288,  0.4967234150,  0.0032153140,     64.306280,     21.435427,      2.679428
       1135936,      31806.21,       1135936,  0.4905693040,  0.0035398648,     70.797296,     23.599099,      2.949887
       1703904,      47709.31,       1703904,  0.4844780400,  0.0058027371,    116.054742,     38.684914,      4.835614
       2555856,      71563.97,       2555856,  0.4798074710,  0.0072203338,    144.406676,     48.135559,      6.016945
       3833784,     107345.95,       3833784,  0.4834348730,  0.0078811638,    157.623275,     52.541092,      6.567636
       5750680,     161019.04,       5750680,  0.4728932940,  0.0082232587,    164.465174,     54.821725,      6.852716
       8626024,     241528.67,       8626024,  0.4330365930,  0.0083668635,    167.337270,     55.779090,      6.972386
      12939040,     362293.12,      12939040,  0.4378857270,  0.0084605528,    169.211057,     56.403686,      7.050461
      19408560,     543439.68,      19408560,  0.4954928800,  0.0085098685,    170.197370,     56.732457,      7.091557
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,5,3,2.500000,64,8,8

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.4012018570,  0.0009765354,     19.530708,      6.510236,      0.813779
           768,         21.50,           960,  0.5007219610,  0.0009937504,     19.875007,      6.625002,      0.828125
          1152,         32.26,          1440,  0.5045617480,  0.0009885917,     19.771833,      6.590611,      0.823826
          1728,         48.38,          2160,  0.4954127020,  0.0011993289,     23.986577,      7.995526,      0.999441
          2592,         72.58,          3240,  0.4904472290,  0.0014246672,     28.493344,      9.497781,      1.187223
          3888,        108.86,          4860,  0.4941185240,  0.0014575493,     29.150986,      9.716995,      1.214624
          5832,        163.30,          7290,  0.4928174700,  0.0014296014,     28.592028,      9.530676,      1.191335
          8752,        245.06,         10940,  0.4965842510,  0.0014286672,     28.573343,      9.524448,      1.190556
         13128,        367.58,         16410,  0.4930040230,  0.0014375695,     28.751390,      9.583797,      1.197975
         19696,        551.49,         24620,  0.4963873180,  0.0014548544,     29.097088,      9.699029,      1.212379
         29544,        827.23,         36930,  0.4980056250,  0.0014610735,     29.221470,      9.740490,      1.217561
         44320,       1240.96,         55400,  0.4986008730,  0.0017493422,     34.986844,     11.662281,      1.457785
         66480,       1861.44,         83100,  0.4989064240,  0.0028448102,     56.896204,     18.965401,      2.370675
         99720,       2792.16,        124650,  0.4998658790,  0.0038948674,     77.897348,     25.965783,      3.245723
        149584,       4188.35,        186980,  0.4998684120,  0.0039176129,     78.352258,     26.117419,      3.264677
        224376,       6282.53,        280470,  0.5000394840,  0.0039166578,     78.333156,     26.111052,      3.263882
        336568,       9423.90,        420710,  0.4992571180,  0.0039139226,     78.278452,     26.092817,      3.261602
        504856,      14135.97,        631070,  0.4983075130,  0.0039167817,     78.335635,     26.111878,      3.263985
        757288,      21204.06,        946610,  0.4976509950,  0.0039350235,     78.700470,     26.233490,      3.279186
       1135936,      31806.21,       1419920,  0.4928478190,  0.0053564118,    107.128236,     35.709412,      4.463676
       1703904,      47709.31,       2129880,  0.4955892910,  0.0072713793,    145.427586,     48.475862,      6.059483
       2555856,      71563.97,       3194820,  0.4963345760,  0.0084432629,    168.865258,     56.288419,      7.036052
       3833784,     107345.95,       4792230,  0.4893813240,  0.0091178347,    182.356694,     60.785565,      7.598196
       5750680,     161019.04,       7188350,  0.4867321240,  0.0094043395,    188.086790,     62.695597,      7.836950
       8626024,     241528.67,      10782530,  0.4985126990,  0.0096319521,    192.639042,     64.213014,      8.026627
      12939040,     362293.12,      16173800,  0.3766312380,  0.0097027095,    194.054189,     64.684730,      8.085591
      19408560,     543439.68,      24260700,  0.3781454360,  0.0097417180,    194.834360,     64.944787,      8.118098
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,6,3,2.500000,64,8,8

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.3745805110,  0.0010029111,     20.058221,      6.686074,      0.835759
           768,         21.50,           960,  0.4986115120,  0.0010062613,     20.125226,      6.708409,      0.838551
          1152,         32.26,          1440,  0.4997666900,  0.0010053492,     20.106983,      6.702328,      0.837791
          1728,         48.38,          2160,  0.5008984090,  0.0009966743,     19.933487,      6.644496,      0.830562
          2592,         72.58,          3240,  0.4952704280,  0.0013756213,     27.512427,      9.170809,      1.146351
          3888,        108.86,          4860,  0.4957005040,  0.0014804857,     29.609714,      9.869905,      1.233738
          5832,        163.30,          7290,  0.4986694400,  0.0014530177,     29.060354,      9.686785,      1.210848
          8752,        245.06,         10940,  0.4962963700,  0.0014433574,     28.867147,      9.622382,      1.202798
         13128,        367.58,         16410,  0.4955592850,  0.0014620345,     29.240691,      9.746897,      1.218362
         19696,        551.49,         24620,  0.4941489590,  0.0014688132,     29.376263,      9.792088,      1.224011
         29544,        827.23,         36930,  0.4981781860,  0.0014860532,     29.721064,      9.907021,      1.238378
         44320,       1240.96,         55400,  0.4989618450,  0.0022196696,     44.393393,     14.797798,      1.849725
         66480,       1861.44,         83100,  0.4989848490,  0.0025953627,     51.907254,     17.302418,      2.162802
         99720,       2792.16,        124650,  0.4993151910,  0.0035996923,     71.993846,     23.997949,      2.999744
        149584,       4188.35,        186980,  0.4999739710,  0.0039461977,     78.923955,     26.307985,      3.288498
        224376,       6282.53,        280470,  0.4991121380,  0.0039440519,     78.881039,     26.293680,      3.286710
        336568,       9423.90,        420710,  0.4992989580,  0.0039454813,     78.909627,     26.303209,      3.287901
        504856,      14135.97,        631070,  0.4978050230,  0.0039441347,     78.882695,     26.294232,      3.286779
        757288,      21204.06,        946610,  0.4967967760,  0.0040746641,     81.493283,     27.164428,      3.395553
       1135936,      31806.21,       1419920,  0.4965763600,  0.0056772949,    113.545898,     37.848633,      4.731079
       1703904,      47709.31,       2129880,  0.4902139280,  0.0057540088,    115.080175,     38.360058,      4.795007
       2555856,      71563.97,       3194820,  0.4787644140,  0.0081443728,    162.887456,     54.295819,      6.786977
       3833784,     107345.95,       4792230,  0.4685371290,  0.0094009776,    188.019553,     62.673184,      7.834148
       5750680,     161019.04,       7188350,  0.4696987630,  0.0102096353,    204.192705,     68.064235,      8.508029
       8626024,     241528.67,      10782530,  0.4486529900,  0.0104023126,    208.046252,     69.348751,      8.668594
      12939040,     362293.12,      16173800,  0.4079291370,  0.0105090006,    210.180012,     70.060004,      8.757500
      19408560,     543439.68,      24260700,  0.4088641040,  0.0105330871,    210.661741,     70.220580,      8.777573
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,7,3,2.500000,64,8,8

             N,      Size(kB),    CL touched,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           640,  0.3636352150,  0.0009816463,     19.632926,      6.544309,      0.818039
           768,         21.50,           960,  0.4975759240,  0.0009605430,     19.210861,      6.403620,      0.800453
          1152,         32.26,          1440,  0.4976180100,  0.0009792104,     19.584209,      6.528070,      0.816009
          1728,         48.38,          2160,  0.4981153500,  0.0010836439,     21.672878,      7.224293,      0.903037
          2592,         72.58,          3240,  0.4992586480,  0.0013591444,     27.182887,      9.060962,      1.132620
          3888,        108.86,          4860,  0.4934980310,  0.0014640979,     29.281959,      9.760653,      1.220082
          5832,        163.30,          7290,  0.4979713380,  0.0014631920,     29.263840,      9.754613,      1.219327
          8752,        245.06,         10940,  0.4978704990,  0.0014557163,     29.114327,      9.704776,      1.213097
         13128,        367.58,         16410,  0.4950041580,  0.0014817457,     29.634915,      9.878305,      1.234788
         19696,        551.49,         24620,  0.4866420750,  0.0015968242,     31.936483,     10.645494,      1.330687
         29544,        827.23,         36930,  0.4962890560,  0.0017230796,     34.461591,     11.487197,      1.435900
         44320,       1240.96,         55400,  0.4979891730,  0.0025176379,     50.352757,     16.784252,      2.098032
