INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.400000,64,8,3

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.3491374000,  0.0004181208,      8.027919,      8.027919,      1.003490
           768,         21.50,             0,  0.4981146019,  0.0004175089,      8.016171,      8.016171,      1.002021
          1152,         32.26,             0,  0.5005087759,  0.0004168736,      8.003973,      8.003973,      1.000497
          1728,         48.38,             0,  0.5000196600,  0.0004626288,      8.882474,      8.882474,      1.110309
          2592,         72.58,             0,  0.5007400040,  0.0006271543,     12.041363,     12.041363,      1.505170
          3888,        108.86,             0,  0.5001261679,  0.0006275773,     12.049485,     12.049485,      1.506186
          5832,        163.30,             0,  0.4976974031,  0.0006270136,     12.038661,     12.038661,      1.504833
          8752,        245.06,             0,  0.4998946689,  0.0006270545,     12.039446,     12.039446,      1.504931
         13128,        367.58,             0,  0.4997760671,  0.0006282506,     12.062412,     12.062412,      1.507802
         19696,        551.49,             0,  0.4924980550,  0.0006284237,     12.065735,     12.065735,      1.508217
         29544,        827.23,             0,  0.4922013490,  0.0006285111,     12.067412,     12.067412,      1.508427
         44320,       1240.96,             0,  0.4826748059,  0.0007934341,     15.233936,     15.233936,      1.904242
         66480,       1861.44,             0,  0.2583273220,  0.0011588995,     22.250871,     22.250871,      2.781359
         99720,       2792.16,             0,  0.4896781091,  0.0011818365,     22.691260,     22.691260,      2.836408
        149584,       4188.35,             0,  0.4968527231,  0.0010464913,     20.092632,     20.092632,      2.511579
        224376,       6282.53,             0,  0.4942706149,  0.0010814274,     20.763406,     20.763406,      2.595426
        336568,       9423.90,             0,  0.4991994200,  0.0010496852,     20.153957,     20.153957,      2.519245
        504856,      14135.97,             0,  0.4963558359,  0.0010492670,     20.145927,     20.145927,      2.518241
        757288,      21204.06,             0,  0.4941144789,  0.0010592191,     20.337006,     20.337006,      2.542126
       1135936,      31806.21,             0,  0.4895401309,  0.0010720336,     20.583044,     20.583044,      2.572881
       1703904,      47709.31,             0,  0.4864831440,  0.0012413517,     23.833952,     23.833952,      2.979244
       2555856,      71563.97,             0,  0.4877708961,  0.0015642987,     30.034534,     30.034534,      3.754317
       3833784,     107345.95,             0,  0.4884925580,  0.0018737921,     35.976808,     35.976808,      4.497101
       5750680,     161019.04,             0,  0.4831082870,  0.0020002118,     38.404067,     38.404067,      4.800508
       8626024,     241528.67,             0,  0.4800866890,  0.0020613192,     39.577328,     39.577328,      4.947166
      12939040,     362293.12,             0,  0.4811139039,  0.0020657290,     39.661997,     39.661997,      4.957750
      19408560,     543439.68,             0,  0.4884074021,  0.0020970446,     40.263257,     40.263257,      5.032907
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.400000,64,8,6

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.3529280709,  0.0004228785,      8.119267,      8.119267,      1.014908
           768,         21.50,             0,  0.4988188860,  0.0004223335,      8.108804,      8.108804,      1.013600
          1152,         32.26,             0,  0.4951949790,  0.0004195914,      8.056156,      8.056156,      1.007019
          1728,         48.38,             0,  0.4992747189,  0.0004258220,      8.175782,      8.175782,      1.021973
          2592,         72.58,             0,  0.4991712430,  0.0005937331,     11.399676,     11.399676,      1.424960
          3888,        108.86,             0,  0.4994094881,  0.0005925286,     11.376549,     11.376549,      1.422069
          5832,        163.30,             0,  0.4990928620,  0.0005918526,     11.363570,     11.363570,      1.420446
          8752,        245.06,             0,  0.4995920910,  0.0005916583,     11.359839,     11.359839,      1.419980
         13128,        367.58,             0,  0.4993433380,  0.0006002953,     11.525670,     11.525670,      1.440709
         19696,        551.49,             0,  0.4931559559,  0.0006045144,     11.606676,     11.606676,      1.450835
         29544,        827.23,             0,  0.4840577730,  0.0006045867,     11.608065,     11.608065,      1.451008
         44320,       1240.96,             0,  0.3301325251,  0.0009438468,     18.121858,     18.121858,      2.265232
