   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     19.659334,     19.527150,     19.449594,     19.321707,     19.266914,     19.324280,     19.319536,     19.652501
     21.500000,     19.305570,     19.444912,     20.182288,     19.221929,     19.317218,     19.238856,     19.404956,     19.229730
     32.260000,     24.242499,     26.577263,     19.669262,     27.180592,     24.718388,     19.167199,     22.731047,     29.439215
     48.380000,     24.198944,     26.528630,     26.568627,     27.768797,     27.109471,     19.157408,     23.927048,     31.413009
     72.580000,     24.130681,     26.430398,     27.123876,     28.620338,     28.038429,     20.254378,     28.371897,     31.600979
    108.860000,     24.142299,     26.488471,     27.013753,     27.729853,     28.045957,     28.351888,     28.969418,     31.415028
    163.300000,     24.153432,     26.310146,     26.960080,     27.577085,     27.641541,     28.329731,     28.679532,     31.009648
    245.060000,     24.130889,     26.442275,     27.161249,     28.140757,     28.193453,     28.890030,     29.572164,     31.440914
    367.580000,     24.121466,     26.252829,     27.693222,     28.511968,     28.962215,     29.933297,     31.108346,     32.450674
    551.490000,     24.119074,     26.403247,     28.008890,     29.202603,     29.106619,     30.386392,     31.292631,     32.426644
    827.230000,     26.208783,     37.478493,     29.902841,     38.727567,     38.819860,     30.222517,     35.887575,     37.276725
   1240.960000,     34.969907,     57.342928,     55.682633,     66.119715,     36.808442,     57.369049,     52.204058,     67.365719
   1861.440000,     35.749818,     62.457226,     60.556577,     78.418559,     48.099563,     42.133508,     55.772446,     81.446156
   2792.160000,     35.733516,     62.692171,     64.109714,     80.365134,     65.795550,     61.723473,     71.222365,     84.657492
   4188.350000,     35.771694,     62.523478,     64.039756,     81.319775,     69.725453,     72.541189,     72.844080,     86.645968
