[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.400000,64,8,3

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.4372150659,  0.0011703184,     22.470113,      7.490038,      0.936255
           768,         21.50,           192,  0.4998369289,  0.0011668606,     22.403723,      7.467908,      0.933488
          1152,         32.26,           288,  0.4995660241,  0.0011666350,     22.399392,      7.466464,      0.933308
          1728,         48.38,           432,  0.5002992770,  0.0011961373,     22.965837,      7.655279,      0.956910
          2592,         72.58,           648,  0.4973418530,  0.0012899468,     24.766978,      8.255659,      1.031957
          3888,        108.86,           972,  0.5009522040,  0.0012932553,     24.830502,      8.276834,      1.034604
          5832,        163.30,          1458,  0.4979269101,  0.0012896262,     24.760823,      8.253608,      1.031701
          8752,        245.06,          2188,  0.5004146900,  0.0012882096,     24.733624,      8.244541,      1.030568
         13128,        367.58,          3282,  0.5001377150,  0.0012893266,     24.755071,      8.251690,      1.031461
         19696,        551.49,          4924,  0.4971510910,  0.0012886721,     24.742505,      8.247502,      1.030938
         29544,        827.23,          7386,  0.4928707350,  0.0012871383,     24.713056,      8.237685,      1.029711
         44320,       1240.96,         11080,  0.4934320240,  0.0016515938,     31.710602,     10.570201,      1.321275
         66480,       1861.44,         16620,  0.3106507920,  0.0014620919,     28.072165,      9.357388,      1.169674
         99720,       2792.16,         24930,  0.5001540000,  0.0014084762,     27.042742,      9.014247,      1.126781
        149584,       4188.35,         37396,  0.4991872720,  0.0013963055,     26.809066,      8.936355,      1.117044
        224376,       6282.53,         56094,  0.4994343360,  0.0014052281,     26.980379,      8.993460,      1.124182
        336568,       9423.90,         84142,  0.4930262860,  0.0014517976,     27.874515,      9.291505,      1.161438
        504856,      14135.97,        126214,  0.4975494910,  0.0013939569,     26.763973,      8.921324,      1.115166
        757288,      21204.06,        189322,  0.4940868440,  0.0013941078,     26.766870,      8.922290,      1.115286
       1135936,      31806.21,        283984,  0.4941151830,  0.0014308719,     27.472740,      9.157580,      1.144698
       1703904,      47709.31,        425976,  0.4922854190,  0.0016415692,     31.518128,     10.506043,      1.313255
       2555856,      71563.97,        638964,  0.4932116120,  0.0019894140,     38.196749,     12.732250,      1.591531
       3833784,     107345.95,        958446,  0.4903557550,  0.0022439273,     43.083404,     14.361135,      1.795142
       5750680,     161019.04,       1437670,  0.4818546640,  0.0023275251,     44.688481,     14.896160,      1.862020
       8626024,     241528.67,       2156506,  0.4899082569,  0.0023664256,     45.435372,     15.145124,      1.893140
      12939040,     362293.12,       3234760,  0.4917692130,  0.0023754139,     45.607947,     15.202649,      1.900331
      19408560,     543439.68,       4852140,  0.4627580430,  0.0023842987,     45.778535,     15.259512,      1.907439
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.400000,64,8,6

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.4536531121,  0.0011725706,     22.513355,      7.504452,      0.938056
           768,         21.50,           192,  0.4999548260,  0.0011843481,     22.739483,      7.579828,      0.947478
          1152,         32.26,           288,  0.4998169930,  0.0011765075,     22.588945,      7.529648,      0.941206
          1728,         48.38,           432,  0.4871096751,  0.0011763790,     22.586477,      7.528826,      0.941103
          2592,         72.58,           648,  0.4999336210,  0.0013595045,     26.102487,      8.700829,      1.087604
          3888,        108.86,           972,  0.4988322330,  0.0013559264,     26.033788,      8.677929,      1.084741
          5832,        163.30,          1458,  0.5003965950,  0.0013556299,     26.028095,      8.676032,      1.084504
          8752,        245.06,          2188,  0.5001886520,  0.0013529830,     25.977273,      8.659091,      1.082386
         13128,        367.58,          3282,  0.4993053289,  0.0013553424,     26.022573,      8.674191,      1.084274
         19696,        551.49,          4924,  0.4966541830,  0.0013532249,     25.981918,      8.660639,      1.082580
         29544,        827.23,          7386,  0.4939918960,  0.0013541099,     25.998910,      8.666303,      1.083288
         44320,       1240.96,         11080,  0.4909939680,  0.0013813446,     26.521816,      8.840605,      1.105076
         66480,       1861.44,         16620,  0.2704176380,  0.0020606150,     39.563808,     13.187936,      1.648492
