   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     19.890872,     19.386805,     19.802684,     19.226221,     19.666895,     19.432332,     19.328427,     19.321923
     21.500000,     19.465966,     19.501307,     19.655939,     19.444905,     19.379306,     19.327514,     19.388184,     19.240985
     32.260000,     20.391967,     20.270370,     19.951856,     19.529373,     19.839527,     19.473968,     19.809150,     19.194669
     48.380000,     30.354301,     29.474684,     29.931295,     20.209847,     26.159279,     19.596261,     23.718111,     19.277948
     72.580000,     30.364105,     29.791945,     29.926470,     30.135616,     31.042958,     27.299599,     27.349809,     19.478961
    108.860000,     30.377664,     29.594415,     29.953833,     30.021780,     31.058540,     30.702607,     30.519871,     22.937246
    163.300000,     30.358609,     29.703851,     29.767050,     29.941175,     31.048015,     30.789394,     30.488794,     30.074969
    245.060000,     30.347383,     29.470994,     29.962980,     30.004818,     31.079068,     30.795335,     30.460002,     30.105501
    367.580000,     30.329608,     29.858393,     29.891384,     30.155173,     31.357340,     30.988765,     30.889934,     30.794168
    551.490000,     30.357312,     29.897302,     30.130360,     30.356192,     31.735347,     31.266067,     31.310146,     31.208691
    827.230000,     31.086362,     31.313915,     32.636783,     30.408805,     34.016916,     31.233955,     31.383771,     31.323632
   1240.960000,     44.262528,     47.231301,     49.498288,     35.717274,     36.994063,     47.731718,     49.822921,     32.226710
   1861.440000,     52.508415,     59.095657,     75.942250,     50.757017,     50.978942,     45.364857,     56.930726,     32.641385
   2792.160000,     53.263482,     59.765353,     79.850003,     74.120101,     79.397726,     69.780114,     77.626308,     36.856538
   4188.350000,     53.262426,     59.772379,     79.860140,     75.233543,     83.700987,     83.508536,     83.166613,     57.866702
