   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,      7.193312,      7.135951,      7.190251,      7.082751,      6.957276,      7.158886,      7.033122,      7.275436
     21.500000,      7.013605,      7.117397,      7.007329,      6.981200,      7.013843,      6.983838,      6.994778,      7.017906
     32.260000,      7.648534,      7.364690,      7.151765,      6.953439,      7.162762,      6.950199,      7.153713,      6.954133
     48.380000,     10.553753,     12.270545,     12.833558,      7.193319,     11.710385,      6.955236,      8.514584,      6.972449
     72.580000,     10.492543,     12.765782,     15.145521,     14.470777,     16.444131,      7.208967,     13.187295,      6.881574
    108.860000,     10.518028,     12.687744,     15.052569,     16.083668,     16.168163,     14.771083,     16.823285,      8.532206
    163.300000,     10.454532,     12.279847,     14.710698,     14.305248,     13.581881,     15.186034,     14.385825,     14.281627
    245.060000,     10.449774,     12.170912,     13.663858,     13.419923,     13.736276,     13.775964,     13.526274,     14.313438
    367.580000,     10.464954,     11.920271,     13.473829,     13.832139,     13.544198,     13.829270,     13.349033,     14.147243
    551.490000,     10.446921,     11.883638,     13.477204,     13.697868,     13.488069,     13.756808,     13.469098,     13.893768
    827.230000,     10.892602,     14.647949,     14.164001,     13.554490,     14.721676,     13.897311,     16.125852,     14.071616
   1240.960000,     18.124034,     27.594546,     25.775752,     19.060976,     15.552442,     27.729003,     29.245069,     14.075235
   1861.440000,     23.501698,     39.265228,     51.637226,     40.007073,     28.756679,     21.108916,     32.317264,     14.026120
   2792.160000,     23.678870,     43.065667,     57.673108,     58.481059,     52.044529,     41.757066,     55.923839,     24.269213
   4188.350000,     23.681141,     43.045217,     57.672611,     60.510235,     61.640167,     62.584075,     62.588391,     54.210709
