   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     22.474481,     22.874372,     23.062919,     23.389342,     23.223453,     23.674254,     23.546454,     23.203449
     21.500000,     22.565766,     22.735410,     22.904707,     22.998224,     23.626921,     23.393867,     23.882655,     23.893872
     32.260000,     22.418698,     22.681296,     22.883183,     23.002481,     23.483579,     23.715938,     23.863820,     23.771757
     48.380000,     25.407971,     27.200999,     22.983011,     28.134350,     25.885181,     23.568719,     25.183673,     30.350891
     72.580000,     25.153168,     27.073857,     27.492805,     28.125838,     27.389816,     23.678175,     28.325209,     30.114319
    108.860000,     25.096886,     27.058816,     27.461312,     28.077995,     28.194899,     24.995279,     28.662589,     30.211362
    163.300000,     25.123021,     26.992173,     27.440715,     28.129542,     28.173337,     28.416051,     28.741313,     30.130671
    245.060000,     25.116345,     27.070692,     27.731797,     28.472873,     28.479216,     28.932314,     29.262102,     30.686267
    367.580000,     25.106847,     27.081318,     28.167881,     28.876004,     29.084621,     29.647557,     30.111496,     31.585906
    551.490000,     25.084665,     27.074723,     28.255795,     29.140846,     29.189898,     30.007324,     30.246366,     31.909758
    827.230000,     29.194136,     27.765606,     28.504046,     28.972858,     36.310404,     29.828879,     34.199445,     33.504247
   1240.960000,     30.727387,     45.880281,     43.310166,     56.604413,     32.844413,     48.019917,     43.480499,     54.083937
   1861.440000,     29.957588,     50.421955,     54.522215,     75.304153,     41.039712,     40.299967,     49.366245,     75.369358
   2792.160000,     29.714159,     52.533092,     58.003148,     82.959203,     61.061612,     54.874146,     70.226596,     87.794363
   4188.350000,     29.728638,     48.588383,     58.351246,     77.981426,     65.450936,     68.024687,     67.341353,     81.216022
   6282.530000,     29.856265,     48.815816,     58.744163,     78.767498,     66.264841,     69.039108,     69.934551,     83.232382
   9423.900000,     29.995164,     49.002878,     59.106799,     79.140127,     66.992024,     69.765456,     70.884787,     83.791424
  14135.970000,     29.983308,     49.064506,     59.125506,     79.236453,     67.062918,     69.814419,     70.954140,     84.011282
  21204.060000,     30.518363,     49.293657,     59.716961,     79.848216,     67.578665,     70.861888,     71.141070,     84.679585
  31806.210000,     33.577657,     52.748424,     65.708462,     86.115368,     75.244060,     77.816002,     78.869627,     92.788388
  47709.310000,     41.285432,     66.890134,     72.568555,    108.000018,     98.634412,     77.657372,    104.900234,    116.895289
  71563.970000,     50.999660,     83.089466,     95.261220,    133.993821,    116.133511,     83.397009,    120.236523,    145.700726
 107345.950000,     54.955911,     93.829641,    110.142252,    151.401561,    124.839296,     99.797217,    129.120409,    163.030250
 161019.040000,     55.552803,     99.173478,    119.021926,    163.529270,    122.953490,    134.707084,    136.731314,    174.851629
 241528.670000,     55.986949,    100.383197,    123.418040,    170.492694,    136.230897,    139.672540,    141.226256,    182.809481
 362293.120000,     56.630887,    101.261518,    124.527051,    178.285983,    137.438420,    141.815165,    145.240133,    189.361063
 543439.680000,     56.667548,    103.125779,    124.424589,    183.040840,    138.860905,    143.061787,    147.287291,    192.949784
