                                        MD-Bench        MD-Bench (mem only)     gather-bench
Force runtime (s)                       13.19           8.78                    9.64
L2 to L1 volume (GB)                    17.15           17.05                   17.1113
L2 to L1 bandwidth (MB/s)               1300.61         1940.53                 1774.78
L1 to L2 evict volume (GB)              0.6529          0.6482                  0.6482
L1 to L2 evict bandwidth (MB/s)         49.4977         73.7419                 67.2321
L3 to L2 volume (GB)                    11.9481         11.9414                 11.9557                
L3 to L2 bandwidth (MB/s)               905.7708        1358.57                 1240.03
Memory read bandwidth (MB/s)            851.7098        1211.2090               1148.3482
Memory read volume (GB)                 11.2447         10.6479                 11.1142
Memory write bandwidth (MB/s)           30.0393         50.6482                 56.6991
Memory write data volume (GB)           0.3966          0.4453                  0.5488
Memory bandwidth (MB/s)                 881.7491        1261.8571               1205.0473
Memory volume (GB)                      11.6413         11.0932                 11.6630
