size,bandwidth
1,0.0
1025,0.7
2049,1.4
3073,2.1
4097,2.8
5121,3.4
6145,4.4
7169,5.0
8193,5.7
9217,6.6
10241,7.3
11265,8.0
12289,8.7
13313,9.4
14337,10.0
15361,11.2
16385,11.7
17409,12.1
18433,13.6
19457,14.1
20481,13.7
21505,15.7
22529,16.4
23553,16.5
24577,17.8
25601,18.4
26625,18.9
27649,19.5
28673,21.4
29697,22.1
30721,23.1
31745,23.8
32769,24.9
33793,26.1
34817,26.7
35841,27.6
36865,27.8
37889,28.4
38913,29.0
39937,27.7
40961,31.9
41985,32.3
43009,33.5
44033,34.1
45057,34.5
46081,33.8
47105,35.9
48129,35.7
49153,37.2
50177,36.6
51201,39.1
52225,38.3
53249,40.8
54273,41.1
55297,42.2
56321,42.3
57345,43.1
58369,40.9
59393,45.5
60417,45.2
61441,47.2
62465,46.9
63489,46.4
64513,49.6
65537,50.0
66561,50.6
67585,50.8
68609,53.9
69633,52.5
70657,54.7
71681,53.1
72705,54.7
73729,56.1
74753,56.2
75777,57.3
76801,55.8
77825,56.6
78849,54.6
79873,58.5
80897,59.9
81921,63.3
82945,63.2
83969,65.0
84993,64.8
86017,63.0
87041,64.5
88065,59.3
89089,54.1
90113,55.3
91137,57.3
92161,55.9
93185,56.7
94209,56.5
95233,57.0
96257,59.7
97281,61.6
98305,61.6
99329,62.1
100353,62.7
101377,58.0
102401,79.4
103425,81.2
104449,79.7
105473,83.2
106497,84.9
107521,84.3
108545,86.0
109569,88.2
110593,86.2
111617,88.2
112641,87.8
113665,90.9
114689,93.3
115713,92.0
116737,93.4
117761,90.9
118785,90.4
119809,87.6
120833,87.5
121857,86.1
122881,91.5
123905,96.4
124929,96.2
125953,98.3
126977,96.8
128001,101.3
129025,101.4
130049,107.1
131073,100.7
132097,97.9
133121,105.2
134145,103.8
135169,105.8
136193,105.5
137217,104.2
138241,103.0
139265,103.4
140289,106.8
141313,109.9
142337,110.9
143361,110.1
144385,110.1
145409,111.0
146433,112.8
147457,118.0
148481,107.4
149505,109.7
150529,117.5
151553,117.5
152577,120.3
153601,113.4
154625,112.8
155649,120.4
156673,122.8
157697,117.4
158721,117.7
159745,127.5
160769,119.0
161793,123.0
162817,127.6
163841,130.1
164865,126.9
165889,131.6
166913,136.6
167937,137.0
168961,139.2
169985,134.8
171009,139.0
172033,135.0
173057,141.2
174081,138.3
175105,144.1
176129,144.3
177153,138.5
178177,154.0
179201,131.4
180225,140.2
181249,144.0
182273,143.1
183297,145.3
184321,144.6
185345,148.6
186369,144.8
187393,149.0
188417,145.7
189441,152.2
190465,151.2
191489,109.7
192513,158.8
193537,170.8
194561,150.7
195585,142.1
196609,153.9
197633,154.3
198657,150.4
199681,133.4
200705,131.8
201729,144.9
202753,128.3
203777,137.3
204801,138.7
205825,138.5
206849,136.9
