Start,Duration,Grid Size,Block Size,Regs,SSMem,DSMem,Size,Throughput,SrcMemType,DstMemType,Device,Context,Stream,Name
1.00263s,899.68us,-,-,-,-,-,4.1199MB,4.4719GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00404s,87.904us,-,-,-,-,-,1.0000MB,11.109GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00439s,87.616us,-,-,-,-,-,1.0000MB,11.146GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00490s,87.808us,-,-,-,-,-,1.0000MB,11.122GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00515s,60.640us,-,-,-,-,-,703.13KB,11.058GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00522s,896ns,-,-,-,-,-,128B,136.24MB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00523s,864ns,-,-,-,-,-,128B,141.29MB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00524s,864ns,-,-,-,-,-,128B,141.29MB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.00576s,11.534ms,-,-,-,-,-,50.000MB,4.2335GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.01758s,45.248us,-,-,-,-,-,512.00KB,10.791GB/s,Pageable,Device,NVIDIA GeForce, 1,7,[CUDA memcpy HtoD]
1.01763s,19.917ms,(65536 1 1),(2 1 1),38,0B,0B,-,-,-,-,NVIDIA GeForce, 1,7,calcforce() [132]
1.03757s,80.896us,-,-,-,-,-,1.0000MB,12.072GB/s,Device,Pageable,NVIDIA GeForce, 1,7,[CUDA memcpy DtoH]
1.03786s,80.736us,-,-,-,-,-,1.0000MB,12.096GB/s,Device,Pageable,NVIDIA GeForce, 1,7,[CUDA memcpy DtoH]
1.03815s,80.480us,-,-,-,-,-,1.0000MB,12.134GB/s,Device,Pageable,NVIDIA GeForce, 1,7,[CUDA memcpy DtoH]
