size,bandwidth
1,0.0
524289,11.7
1048577,11.9
1572865,12.0
2097153,12.1
2621441,12.1
3145729,12.1
3670017,12.2
4194305,12.2
4718593,12.2
5242881,12.2
5767169,12.2
6291457,12.2
6815745,12.2
7340033,12.2
7864321,12.2
8388609,12.2
8912897,12.2
9437185,12.3
9961473,12.3
10485761,12.3
11010049,12.3
11534337,12.3
12058625,12.3
12582913,12.3
13107201,12.3
13631489,12.3
14155777,12.3
14680065,12.3
15204353,12.3
15728641,12.3
16252929,12.3
16777217,12.3
17301505,12.3
17825793,12.3
18350081,12.3
18874369,12.3
19398657,12.3
19922945,12.3
20447233,12.3
20971521,12.3
21495809,12.3
22020097,12.3
22544385,12.3
23068673,12.3
23592961,12.3
24117249,12.3
24641537,12.3
25165825,12.3
25690113,12.3
26214401,12.3
26738689,12.3
27262977,12.3
27787265,12.3
28311553,12.3
28835841,12.3
29360129,12.3
29884417,12.3
30408705,12.3
30932993,12.3
31457281,12.3
31981569,12.3
32505857,12.3
33030145,12.3
33554433,12.3
34078721,12.3
34603009,12.3
35127297,12.3
35651585,12.3
36175873,12.3
36700161,12.3
37224449,12.3
37748737,12.3
38273025,12.3
38797313,12.3
39321601,12.3
39845889,12.3
40370177,12.3
40894465,12.3
41418753,12.3
41943041,12.3
42467329,12.3
42991617,12.3
43515905,12.3
44040193,12.3
44564481,12.3
45088769,12.3
45613057,12.3
46137345,12.3
46661633,12.3
47185921,12.3
47710209,12.3
48234497,12.3
48758785,12.3
49283073,12.3
49807361,12.3
50331649,12.3
50855937,12.3
51380225,12.3
51904513,12.3
