threads,l3_bandwidth_mbyte_s,l3_data_volume_gbytes,l3_miss_ratio_prcnt
1,929,3.84,78.77
2,1123,2.38,73.18
3,2095,2.99,73.01
4,2835,3.22,73.36
5,2973,4.14,74.82
6,3274,3.10,72.48
7,3283,2.74,70.40
8,3486,2.32,66.87
9,3309,2.30,64.39
10,3178,2.45,60.78
11,3162,2.31,58.03
12,3214,2.23,54.66
13,3297,2.08,51.37
14,3280,2.10,48.92
15,3337,2.05,46.32
16,3226,1.97,44.39
17,3420,2.01,40.21
18,3265,1.91,38.44
19,3444,1.99,34.63
20,3317,1.90,32.31
21,3382,1.91,29.94
22,3488,1.97,26.93
23,3458,1.96,24.11
24,3426,1.97,24.47
25,3466,1.97,21.45
26,3472,1.96,20.00
27,3469,1.99,17.95
28,3390,1.95,17.34
29,3682,2.11,15.33
30,3570,2.10,14.35
31,3368,2.01,14.37
32,3590,2.15,13.23
