Duration,Size,Throughput,SrcMemType,DstMemType,Name
355.54us,4.1199MB,11.316GB/s,Pinned,Device,[CUDA memcpy HtoD]
88.069us,1.0000MB,11.089GB/s,Pinned,Device,[CUDA memcpy HtoD]
87.972us,1.0000MB,11.101GB/s,Pinned,Device,[CUDA memcpy HtoD]
87.844us,1.0000MB,11.117GB/s,Pinned,Device,[CUDA memcpy HtoD]
61.187us,703.13KB,10.959GB/s,Pinned,Device,[CUDA memcpy HtoD]
832ns,128B,146.72MB/s,Pinned,Device,[CUDA memcpy HtoD]
833ns,128B,146.54MB/s,Pinned,Device,[CUDA memcpy HtoD]
832ns,128B,146.72MB/s,Pinned,Device,[CUDA memcpy HtoD]
4.2854ms,50.000MB,11.394GB/s,Pinned,Device,[CUDA memcpy HtoD]
45.443us,512.00KB,10.745GB/s,Pinned,Device,[CUDA memcpy HtoD]
19.880ms,-,-,-,-,calcforce() [294]
81.285us,1.0000MB,12.014GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.932us,1.0000MB,12.066GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.868us,1.0000MB,12.076GB/s,Device,Pinned,[CUDA memcpy DtoH]
