Duration,Size,Throughput,SrcMemType,DstMemType,Name
354.67us,4.1199MB,11.344GB/s,Pinned,Device,[CUDA memcpy HtoD]
3.2640us,1.0000MB,299.19GB/s,Device,-,[CUDA memset]
3.2650us,1.0000MB,299.10GB/s,Device,-,[CUDA memset]
2.8800us,1.0000MB,339.08GB/s,Device,-,[CUDA memset]
4.2804ms,50.000MB,11.407GB/s,Pinned,Device,[CUDA memcpy HtoD]
45.058us,512.00KB,10.837GB/s,Pinned,Device,[CUDA memcpy HtoD]
1.5061ms,-,-,-,-,calcforce() [308]
80.771us,1.0000MB,12.091GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.899us,1.0000MB,12.071GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.803us,1.0000MB,12.086GB/s,Device,Pinned,[CUDA memcpy DtoH]
