iwia021h@broadep2:~/repo/MD-Bench/ICC$ /home/hpc/iwia/iwia021h/.local/bin/osaca --arch BDW force.s --ignore-unknown
Open Source Architecture Code Analyzer (OSACA) - 0.4.6
Analyzed file:      force.s
Architecture:       BDW
Timestamp:          2021-10-18 19:19:44


 P - Throughput of LOAD operation can be hidden behind a past or future STORE instruction
 * - Instruction micro-ops not bound to a port
 X - No throughput/latency information for this instruction in data file


Combined Analysis Report
------------------------
                                      Port pressure in cycles                                       
     |  0   -  0DV  |  1   |  2   -  2D  |  3   -  3D  |  4   |  5   |  6   |  7   ||  CP  | LCD  |
----------------------------------------------------------------------------------------------------
14450 |              |      | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||  4.0 |      |   vmovdqu   (%r11,%r13,4), %xmm0                          #177.29
14451 | 1.00         |      |             |             |      |      |      |      ||  1.0 |      |   vmovd     %xmm0, %rbx                                   #177.29
14452 |              |      |             |             |      | 1.00 |      |      ||      |      |   vpunpckhqdq %xmm0, %xmm0, %xmm2                         #177.29
14453 | 1.00         |      |             |             |      |      |      |      ||      |      |   vmovd     %xmm2, %r15                                   #177.29
14454 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||  1.0 |      |   movl      %ebx, %r8d                                    #177.29
14455 | 0.00         |      |             |             |      |      | 1.00 |      ||      |      |   shrq      $32, %rbx                                     #177.29
14456 |              | 0.50 |             |             |      | 0.50 |      |      ||      |      |   lea       (%rbx,%rbx,2), %r9d                           #178.44
14457 |              | 0.50 |             |             |      | 0.50 |      |      ||  1.0 |      |   lea       (%r8,%r8,2), %r8d                             #178.44
14458 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||  1.0 |      |   movslq    %r8d, %rbx                                    #178.44
14459 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   movslq    %r9d, %r8                                     #178.44
14460 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   movl      %r15d, %r9d                                   #177.29
14461 | 0.00         |      |             |             |      |      | 1.00 |      ||      |      |   shrq      $32, %r15                                     #177.29
14462 |              |      | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||  4.0 |      |   vmovups   (%rcx,%rbx,8), %xmm7                          #178.44
14463 |              |      | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||      |      |   vmovups   (%rcx,%r8,8), %xmm6                           #178.44
14464 |              |      | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||      |      |   vmovq     16(%rcx,%rbx,8), %xmm14                       #178.44
14465 |              | 0.00 |             |             |      | 1.00 |      |      ||      |      |   lea       (%r9,%r9,2), %r9d                             #178.44
14466 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   movslq    %r9d, %r9                                     #178.44
14467 |              | 0.00 |             |             |      | 1.00 |      |      ||      |      |   lea       (%r15,%r15,2), %r15d                          #178.44
14468 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   movslq    %r15d, %r15                                   #178.44
14469 |              |      | 0.50   0.50 | 0.50   0.50 |      | 1.00 |      |      ||      |      |   vmovhpd   16(%rcx,%r8,8), %xmm14, %xmm15                #178.44
14470 | 0.50         | 0.50 | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||  1.0 |      |   vinsertf128 $1, (%rcx,%r9,8), %ymm7, %ymm1              #178.44
14471 |              |      | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||      |      |   vmovq     16(%rcx,%r9,8), %xmm0                         #178.44
14472 | 0.50         | 0.50 | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||      |      |   vinsertf128 $1, (%rcx,%r15,8), %ymm6, %ymm6             #178.44
14473 |              |      | 0.50   0.50 | 0.50   0.50 |      | 1.00 |      |      ||      |      |   vmovhpd   16(%rcx,%r15,8), %xmm0, %xmm2                 #178.44
14474 |              |      |             |             |      | 1.00 |      |      ||      |      |   vunpcklpd %ymm6, %ymm1, %ymm14                          #178.44
14475 |              |      |             |             |      | 1.00 |      |      ||  1.0 |      |   vunpckhpd %ymm6, %ymm1, %ymm1                           #178.44
14476 |              | 1.00 |             |             |      |      |      |      ||      |      |   vsubpd    %ymm14, %ymm10, %ymm6                         #178.44
14477 |              |      |             |             |      | 1.00 |      |      ||      |      |   vinsertf128 $1, %xmm2, %ymm15, %ymm7                    #178.44
14478 |              | 1.00 |             |             |      |      |      |      ||  3.0 |      |   vsubpd    %ymm1, %ymm9, %ymm2                           #179.44
14479 |              | 1.00 |             |             |      |      |      |      ||      |      |   vsubpd    %ymm7, %ymm8, %ymm0                           #180.44
14480 | 0.50         | 0.50 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm2, %ymm2, %ymm14                          #181.57
14481 | 0.50         | 0.50 |             |             |      |      |      |      ||  5.0 |      |   vfmadd231pd %ymm6, %ymm6, %ymm14                        #181.57
