threads,mem_bandwidth_mbyte_s,mem_data_volume_gbytes
1,1420,0.053
2,2620,0.053
3,3600,0.053
4,4780,0.052
5,5660,0.052
6,6680,0.052
7,7720,0.051
8,8790,0.051
9,9750,0.051
10,10850,0.051
11,11950,0.051
12,12930,0.051
13,13950,0.051
14,15070,0.051
15,16010,0.051
16,17230,0.051
17,18120,0.051
18,19390,0.051
19,20170,0.052
20,21320,0.052
21,22940,0.053
22,24130,0.053
23,25880,0.055
24,28260,0.057
25,31470,0.062
26,37050,0.070
27,45790,0.084
28,55940,0.100
29,70700,0.124
30,92100,0.152
31,106810,0.170
32,129070,0.197
