Duration,Size,Throughput,SrcMemType,DstMemType,Name
899.68us,4.1199MB,4.4719GB/s,Pageable,Device,[CUDA memcpy HtoD]
87.904us,1.0000MB,11.109GB/s,Pageable,Device,[CUDA memcpy HtoD]
87.616us,1.0000MB,11.146GB/s,Pageable,Device,[CUDA memcpy HtoD]
87.808us,1.0000MB,11.122GB/s,Pageable,Device,[CUDA memcpy HtoD]
60.640us,703.13KB,11.058GB/s,Pageable,Device,[CUDA memcpy HtoD]
896ns,128B,136.24MB/s,Pageable,Device,[CUDA memcpy HtoD]
864ns,128B,141.29MB/s,Pageable,Device,[CUDA memcpy HtoD]
864ns,128B,141.29MB/s,Pageable,Device,[CUDA memcpy HtoD]
11.534ms,50.000MB,4.2335GB/s,Pageable,Device,[CUDA memcpy HtoD]
45.248us,512.00KB,10.791GB/s,Pageable,Device,[CUDA memcpy HtoD]
19.917ms,-,-,-,-,calcforce() [132]
80.896us,1.0000MB,12.072GB/s,Device,Pageable,[CUDA memcpy DtoH]
80.736us,1.0000MB,12.096GB/s,Device,Pageable,[CUDA memcpy DtoH]
80.480us,1.0000MB,12.134GB/s,Device,Pageable,[CUDA memcpy DtoH]
